Domain,IP
l.www.naver.com.,223.130.195.208
www.notion.so.,104.18.6.183
onedscolprdwus12.westus.cloudapp.azure.com.,20.189.173.13
static.twitchcdn.net.,18.67.54.177
pubsub-edge.twitch.tv.,100.20.222.147
passport.twitch.tv.,18.67.51.36
irc-ws.chat.twitch.tv.,54.201.243.139
www.gstatic.com.,142.250.206.227
content-autofill.googleapis.com.,172.217.25.170
edge.ads.twitch.tv.,54.192.175.57
sb.scorecardresearch.com.,99.86.207.126
d2v02itv0y9u9t.cloudfront.net.,18.64.2.66
s.amazon-adsystem.com.,52.46.128.147
safebrowsing.googleapis.com.,172.217.31.170
usher.ttvnw.net.,54.230.167.69
video-weaver.sel04.hls.ttvnw.net.,45.113.131.18
video-edge-cec688.sel04.abs.hls.ttvnw.net.,52.223.219.182
global.poe.live-video.net.,23.160.0.0
video-edge-0790ca.sel03.abs.hls.ttvnw.net.,52.223.217.186
www.google.com.,172.217.25.164
play.google.com.,172.217.161.238
adservice.google.com.,172.217.25.162
accounts.google.com.,142.250.206.205
gateway.fe.apple-dns.net.,17.248.221.12
ssl.gstatic.com.,142.250.206.227
www.google.com.,172.217.25.164
lostark.inven.co.kr.,182.162.110.253
www.inven.co.kr.,182.162.110.253
perr.hola.org.,23.22.252.240
safebrowsing.googleapis.com.,142.250.196.106
i.ytimg.com.,172.217.25.182
perr.hola.org.,23.22.252.240
perr.h-vpn.org.,34.237.179.253
perr.hola-vpn.com.,23.22.252.240
perr.zspeed-cdn.com.,34.237.179.253
perr.holavpn.net.,34.237.179.253
perr.holavpnextension.com.,23.22.252.240
tm.interworksmedia.co.kr.,121.254.154.40
perr.holavpnrussia.com.,34.237.179.253
perr.holafreevpn.com.,23.22.252.240
perr.holax.io.,34.237.179.253
pagead2.googlesyndication.com.,142.250.76.130
googleads.g.doubleclick.net.,172.217.161.194
adservice.google.com.,172.217.25.162
tpc.googlesyndication.com.,172.217.25.161
tpc.googlesyndication.com.,172.217.25.161
www.google.com.,172.217.25.164
pagead2.googlesyndication.com.,142.250.76.130
match.prod.bidr.io.,18.181.99.182
www.mediacategory.com.,119.205.238.29
adapi.about.co.kr.,183.111.131.73
www.google-analytics.com.,172.217.161.206
ds.interworksmedia.co.kr.,121.254.154.6
content-autofill.googleapis.com.,172.217.161.234
gold.contentsfeed.com.,183.111.27.140
ssp.igaw.io.,18.67.51.37
interface.interworksmedia.co.kr.,121.254.154.32
cm.igaw.io.,35.77.134.15
adn.admixer.co.kr.,183.110.238.126
prebid-asia.creativecdn.com.,103.132.192.30
googleads.g.doubleclick.net.,172.217.161.194
katalk-fo6ld96d.kgslb.com.,211.249.219.27
onedscolprdeus06.eastus.cloudapp.azure.com.,20.42.73.25
exp.notion.so.,104.18.6.183
o324374.ingest.sentry.io.,34.120.195.249
www.notion.so.,104.18.6.183
msgstore.www.notion.so.,104.18.7.183
widget.intercom.io.,54.230.167.85
code.gist.build.,104.26.11.146
js.intercomcdn.com.,18.64.8.78
gist-queue-consumer-api.cloud.gist.build.,34.120.32.134
api-iam.intercom.io.,52.200.128.147
nexus-websocket-a.intercom.io.,35.174.127.31
renderer.gist.build.,172.67.69.25
engine.api.gist.build.,104.26.10.146
assets.gist.build.,172.67.69.25
www.police.go.kr.,116.67.83.27
www.police.go.kr.,116.67.83.27
www.zesinc.co.kr.,222.112.0.240
onedscolprdcus05.centralus.cloudapp.azure.com.,20.44.10.123
www.gov.kr.,125.60.35.230
safebrowsing.googleapis.com.,142.250.196.106
