start_ip,end_ip,country,country_name,continent,continent_name
2001:220::,2001:220:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:230::,2001:230:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:268:9a5b:8a00::,2001:268:9a5b:8aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270::,2001:270:3fff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:4000:100::,2001:270:edff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:ee00:100::,2001:270:fa00:0:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:fa00:2::,2001:270:fa00:60:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:fa00:62::,2001:270:fa70:0:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:fa70:2::,2001:270:fa70:202:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:fa70:204::,2001:270:fb70:0:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:fb70:2::,2001:270:fb70:202:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:fb70:204::,2001:270:ff7f:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:270:ff80:100::,2001:270:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:280::,2001:280:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:290:0:1::,2001:290:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2b0::,2001:2b0:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2b8::,2001:2b9:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8::,2001:2d8:212:ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:212:200::,2001:2d8:218:6dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:218:6f00::,2001:2d8:302:2fff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:302:3100::,2001:2d8:1058:e8ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:1058:ea00::,2001:2d8:105d:f7ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:105d:f900::,2001:2d8:6219:2dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6219:2f00::,2001:2d8:6244:f6ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6244:f800::,2001:2d8:6257:8412:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6257:8414::,2001:2d8:626a:afff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:626a:b100::,2001:2d8:627a:79ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:627a:7b00::,2001:2d8:6375:fdff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6375:ff00::,2001:2d8:643a:daff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:643a:dc00::,2001:2d8:6896:59ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6896:5b00::,2001:2d8:695c:fdff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:695c:ff00::,2001:2d8:6976:2aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6976:2c00::,2001:2d8:6985:f6ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6985:f800::,2001:2d8:6a11:c0ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6a11:c200::,2001:2d8:6a6e:8bff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6a6e:8d00::,2001:2d8:6a7d:a4ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6a7d:a600::,2001:2d8:6c32:13ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6c32:1500::,2001:2d8:6cc1:42ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6cc1:4400::,2001:2d8:6f12:3ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:6f12:500::,2001:2d8:7005:3dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:7005:3f00::,2001:2d8:7095:7aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:7095:7c00::,2001:2d8:e087:cfff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e087:d100::,2001:2d8:e206:8dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e206:8f00::,2001:2d8:e207:c0ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e207:c200::,2001:2d8:e20f:42ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e20f:4400::,2001:2d8:e24d:b2ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e24d:b400::,2001:2d8:e254:9dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e254:9f00::,2001:2d8:e270:eeff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e270:f000::,2001:2d8:e2b6:a4a0:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e2b6:a4a2::,2001:2d8:e307:feff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e308::,2001:2d8:e30d:8eff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e30d:9000::,2001:2d8:e4a3:46ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e4a3:4800::,2001:2d8:e4a5:80ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e4a5:8200::,2001:2d8:e515:53ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e515:5500::,2001:2d8:e525:7bff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e525:7d00::,2001:2d8:e62e:c986:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e62e:c988::,2001:2d8:e68c:2dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e68c:2f00::,2001:2d8:e716:5989:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e716:598b::,2001:2d8:e717:8bff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e717:8d00::,2001:2d8:e734:3cff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e734:3e00::,2001:2d8:e75a:61ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e75a:6300::,2001:2d8:e870:6aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e870:6c00::,2001:2d8:e886:b3ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e886:b500::,2001:2d8:e920:dbff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e920:dd00::,2001:2d8:e927:50ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:e927:5200::,2001:2d8:ea20:4eff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ea20:5000::,2001:2d8:ea2d:a1ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ea2d:a300::,2001:2d8:ea4a:e8ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ea4a:ea00::,2001:2d8:ea57:6aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ea57:6c00::,2001:2d8:ea71:97ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ea71:9900::,2001:2d8:ea78:d5ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ea78:d700::,2001:2d8:ed33:c5ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ed33:c700::,2001:2d8:ee6b:d5ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ee6b:d700::,2001:2d8:ee6e:66ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ee6e:6800::,2001:2d8:ee6e:d7ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ee6e:d900::,2001:2d8:ee9b:57ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
