start_ip,end_ip,asn,name,domain
27.101.10.0,27.101.166.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
27.101.191.0,27.101.223.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
27.101.255.0,27.101.255.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
58.184.121.0,58.184.121.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
61.72.224.0,61.72.226.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
61.72.230.0,61.72.230.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
61.72.238.0,61.72.239.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
61.104.76.0,61.104.76.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
115.84.160.0,115.84.167.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
116.67.0.0,116.67.127.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
125.60.0.0,125.60.63.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
125.61.116.0,125.61.117.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
125.128.64.0,125.128.95.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
152.99.0.0,152.99.255.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
168.126.120.0,168.126.123.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.233.54.0,203.233.57.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.238.160.0,203.238.175.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.241.52.0,203.241.52.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.242.0.0,203.242.4.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.242.6.0,203.242.6.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.243.1.0,203.243.1.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.254.96.0,203.254.97.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.254.110.0,203.254.110.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
203.254.121.0,203.254.121.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.90.8.0,210.90.8.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.90.15.0,210.90.15.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.90.46.0,210.90.47.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.95.181.0,210.95.181.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.95.187.0,210.95.187.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.95.219.0,210.95.219.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.97.27.0,210.97.27.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.99.24.0,210.99.25.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.99.48.0,210.99.55.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.99.62.0,210.99.62.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.99.248.0,210.99.248.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.103.63.0,210.103.63.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.103.72.0,210.103.72.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.103.81.0,210.103.83.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.104.41.0,210.104.41.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.104.140.0,210.104.140.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.104.148.0,210.104.148.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.104.249.0,210.104.250.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.106.108.0,210.106.108.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.178.100.0,210.178.101.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.179.148.0,210.179.148.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
210.179.205.0,210.179.205.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.34.86.0,211.34.86.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.34.108.0,211.34.109.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.39.76.0,211.39.76.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.39.91.0,211.39.94.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.42.72.0,211.42.75.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.42.84.0,211.42.86.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.57.153.0,211.57.153.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.61.29.0,211.61.29.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.112.154.0,211.112.154.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.114.22.0,211.114.22.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.114.24.0,211.114.24.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.173.34.0,211.173.39.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.173.46.0,211.173.46.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.184.197.0,211.184.197.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.250.131.0,211.250.131.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.252.37.0,211.252.37.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.252.203.0,211.252.203.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.253.60.0,211.253.62.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.253.82.0,211.253.82.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.253.98.0,211.253.99.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.253.121.0,211.253.122.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.253.124.0,211.253.124.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
211.253.148.0,211.253.148.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
222.111.168.0,222.111.171.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
222.111.248.0,222.111.255.255,AS17841,NATIONAL INFORMATION RESOURCES SERVICE,korea.kr
